model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
Kimi K3,6,68,314.7844559400218,2200.0,692,207.86536043307183,252.69296201266377,1.8314210061782876,0.8300925925925926,1.0,1.0,0.055793172404843654
Kimi K3,6,100,430.409842727007,2350.0,1000,232.3856126155813,271.7348437956646,2.4849007765314925,0.8289873068432672,1.0,1.0,0.07306204513828575
Kimi K3,6,147,554.8740620287817,2700.0,1470,264.4081616373455,327.2116396760056,3.3230769230769233,0.8305209097578871,1.0,1.0,0.08966091213572844
Kimi K3,6,215,711.4206426497019,3050.0,2150,301.1903604578733,369.4565511124868,4.509175648121177,0.8322351421188631,1.0,1.0,0.114215868679875
Kimi K3,6,316,893.6761640675112,3550.0,3160,353.3636316516181,399.8457678513936,6.467310972143263,0.8331355485232067,1.0,1.0,0.14345670475365013
Kimi K3,6,464,1080.7219469635588,4300.0,4640,428.4321263273787,483.04212580940293,9.19570602807597,0.8348748802681992,1.0,1.0,0.17434900172007606
Kimi K3,6,544,1156.023127920027,4750.0,5440,470.1908878746999,541.707020328059,10.399044205495818,0.8343928717320261,1.0,1.0,0.18637738568498013
Kimi K3,7,1,21.902976636490052,5850.0,128,45.65589493137723,47.75250270429576,1,0.8508858267716536,0.15690423622790228,0.15690423622790228,0.010901932394626465
Kimi K3,7,2,42.786499374549216,3000.0,128,46.76834119890001,50.34880734613871,1.0004962779156328,0.8531746031746031,0.30629542909302543,0.30629542909302543,0.013415387536479454
Kimi K3,7,3,62.321770930233356,2100.0,129,48.136559920276376,53.195111987981555,1.0074850299401197,0.84375,0.4447724983905691,0.4447724983905691,0.01409207700003832
Kimi K3,7,4,77.3230159538041,1700.0,131,51.43397156058565,56.95817098017669,1.0103601381351752,0.8671875,0.5551916565727223,0.5551916565727223,0.015620056089276201
