scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,316,1839.8004267187748,171.40083062898492,188.21262826309473,5.5689908796704914,0.029878418928716444
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,464,1908.3418517992368,232.37112939799914,249.83516350101328,7.884833228445563,0.03173161613198056
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,681,2070.8802994313282,322.66574188817793,347.06892884930323,10.988415948275861,0.03538011999771283
independent,0.0,0.0,100000.0,DeepSeek V4.1 Flash,7,828,2149.9947541963065,384.4869726078362,406.12309111250494,13.05841121495327,0.035967320321988294
system-90-family-70,0.9,0.7,100000.0,DeepSeek V4.1 Flash,7,1,69.59612277559799,14.36861652802623,15.11649481224048,1,0.00461340823149214
system-90-family-70,0.9,0.7,77000.0,DeepSeek V4.1 Flash,7,2,143.96795171729804,13.90188834252894,15.294686011461913,1.001303780964798,0.005365666833233178
system-90-family-70,0.9,0.7,69333.33333333333,DeepSeek V4.1 Flash,7,3,215.13797150689442,13.93808981506422,15.6415703306835,1.0013351134846462,0.0064554290967576
system-90-family-70,0.9,0.7,65500.0,DeepSeek V4.1 Flash,7,4,277.71104351919956,14.400179487278079,18.132007490369052,1.0050377833753148,0.006546615765206151
system-90-family-70,0.9,0.7,63200.0,DeepSeek V4.1 Flash,7,5,333.2844444568819,14.93512653632294,18.334400827594727,1.0065530799475753,0.009714134300403552
system-90-family-70,0.9,0.7,61666.66666666667,DeepSeek V4.1 Flash,7,6,394.0952080630559,15.085344044752853,17.850971021681406,1.0141388174807198,0.00788779834935251
system-90-family-70,0.9,0.7,60571.42857142857,DeepSeek V4.1 Flash,7,7,429.44765156618155,15.863142548193943,19.147066906816274,1.0134228187919463,0.009101997542031838
system-90-family-70,0.9,0.7,59750.0,DeepSeek V4.1 Flash,7,8,461.22129587953384,17.368593732257523,21.526435900274038,1.0170603674540681,0.010308769299336303
system-90-family-70,0.9,0.7,58600.0,DeepSeek V4.1 Flash,7,10,504.10982328057867,19.609779090333124,23.813007482584357,1.0236966824644549,0.011326746429240555
system-90-family-70,0.9,0.7,57066.66666666667,DeepSeek V4.1 Flash,7,15,637.9997278499646,23.104143766305736,29.186880710029527,1.0576923076923077,0.013796820592060178
system-90-family-70,0.9,0.7,56090.90909090909,DeepSeek V4.1 Flash,7,22,719.6540758507615,28.889445312766014,35.93357509716017,1.1325648414985592,0.015409435266887744
